p:(0.329524,0.142605),h:3,n:4,cr:1.08541;
p:(0.207247,0.0166222),h:0,n:0,cr:0;
p:(0.185938,0.0428134),h:0,n:0,cr:0;
p:(0.198781,0.0666541),h:0,n:0,cr:0;
p:(0.0979995,0.0071162),h:0,n:0,cr:0;
p:(0.0673226,0.00320399),h:0,n:0,cr:0;
p:(0.0508435,0.0174886),h:0,n:0,cr:0;
p:(0.0660752,0.0502945),h:0,n:0,cr:0;
p:(0.0469917,0.0384372),h:0,n:0,cr:0;
p:(0.0504857,0.0412561),h:0,n:0,cr:0;
p:(0.069285,0.0318626),h:0,n:0,cr:0;
p:(0.116504,0.0169337),h:0,n:0,cr:0;
p:(0.120685,0.0227169),h:0,n:0,cr:0;
p:(0.129203,0.0589829),h:0,n:0,cr:0;
p:(0.139838,0.0425236),h:0,n:0,cr:0;
p:(0.0934341,0.0769433),h:0,n:0,cr:0;
p:(0.0551237,0.0895644),h:0,n:0,cr:0;
p:(0.102882,0.0433676),h:0,n:0,cr:0;
p:(0.155794,0.0183736),h:0,n:0,cr:0;
p:(0.0586195,0.219359),h:0,n:0,cr:0;
p:(0.0518304,0.243077),h:0,n:0,cr:0;
p:(0.0234337,0.228382),h:0,n:0,cr:0;
p:(0.025099,0.208201),h:0,n:0,cr:0;
p:(0.0690436,0.262086),h:0,n:0,cr:0;
p:(0.072134,0.258213),h:0,n:0,cr:0;
p:(0.0424638,0.276268),h:0,n:0,cr:0;
p:(0.0359681,0.250791),h:0,n:0,cr:0;
p:(0.0315942,0.25733),h:0,n:0,cr:0;
p:(0.00313346,0.24555),h:0,n:0,cr:0;
p:(0.0967474,0.263374),h:0,n:0,cr:0;
p:(0.11015,0.258257),h:0,n:0,cr:0;
p:(0.0620843,0.20815),h:0,n:0,cr:0;
p:(0.0524586,0.190801),h:0,n:0,cr:0;
p:(0.0154063,0.14432),h:0,n:0,cr:0;
p:(0.0125151,0.16264),h:0,n:0,cr:0;
p:(0.0285137,0.183373),h:0,n:0,cr:0;
p:(0.0380447,0.347362),h:0,n:0,cr:0;
p:(0.0229857,0.393671),h:0,n:0,cr:0;
p:(0.0306336,0.379753),h:0,n:0,cr:0;
p:(0.0591299,0.355404),h:0,n:0,cr:0;
p:(0.0350693,0.328917),h:0,n:0,cr:0;
p:(0.0464437,0.286997),h:0,n:0,cr:0;
p:(0.0410838,0.324685),h:0,n:0,cr:0;
p:(0.0541553,0.334114),h:0,n:0,cr:0;
p:(0.0993558,0.309947),h:0,n:0,cr:0;
p:(0.103749,0.271977),h:0,n:0,cr:0;
p:(0.0663659,0.413144),h:0,n:0,cr:0;
p:(0.111222,0.318717),h:0,n:0,cr:0;
p:(0.153199,0.264653),h:0,n:0,cr:0;
p:(0.137732,0.282307),h:0,n:0,cr:0;
p:(0.161103,0.296226),h:0,n:0,cr:0;
p:(0.135641,0.438),h:0,n:0,cr:0;
p:(0.13363,0.413814),h:0,n:0,cr:0;
p:(0.12125,0.387033),h:0,n:0,cr:0;
p:(0.581297,0.170335),h:0,n:0,cr:0;
p:(0.70024,0.200274),h:0,n:0,cr:0;
p:(0.668327,0.23148),h:0,n:0,cr:0;
p:(0.627459,0.283409),h:0,n:0,cr:0;
p:(0.65673,0.150668),h:0,n:0,cr:0;
p:(0.640515,0.194542),h:0,n:0,cr:0;
p:(0.622743,0.251313),h:0,n:0,cr:0;
p:(0.709209,0.1928),h:0,n:0,cr:0;
p:(0.691682,0.179351),h:0,n:0,cr:0;
p:(0.686587,0.207841),h:0,n:0,cr:0;
p:(0.614212,0.227888),h:0,n:0,cr:0;
p:(0.619417,0.241677),h:0,n:0,cr:0;
p:(0.647788,0.165262),h:0,n:0,cr:0;
p:(0.628523,0.144833),h:0,n:0,cr:0;
p:(0.596662,0.160835),h:0,n:0,cr:0;
p:(0.654418,0.233039),h:0,n:0,cr:0;
p:(0.658883,0.263566),h:0,n:0,cr:0;
p:(0.675664,0.229119),h:0,n:0,cr:0;
p:(0.662258,0.130257),h:0,n:0,cr:0;
p:(0.637818,0.259754),h:0,n:0,cr:0;
p:(0.663457,0.254416),h:0,n:0,cr:0;
p:(0.692812,0.208871),h:0,n:0,cr:0;
p:(0.677413,0.216655),h:0,n:0,cr:0;
p:(0.543189,0.308314),h:0,n:0,cr:0;
p:(0.550739,0.309285),h:0,n:0,cr:0;
p:(0.535833,0.29425),h:0,n:0,cr:0;
p:(0.600691,0.325468),h:0,n:0,cr:0;
p:(0.554691,0.284634),h:0,n:0,cr:0;
p:(0.569396,0.279261),h:0,n:0,cr:0;
p:(0.519307,0.279608),h:0,n:0,cr:0;
p:(0.598411,0.318529),h:0,n:0,cr:0;
p:(0.59032,0.316507),h:0,n:0,cr:0;
p:(0.612227,0.31453),h:0,n:0,cr:0;
p:(0.570403,0.304034),h:0,n:0,cr:0;
p:(0.534014,0.316043),h:0,n:0,cr:0;
p:(0.540668,0.323551),h:0,n:0,cr:0;
p:(0.497627,0.326643),h:0,n:0,cr:0;
p:(0.494894,0.32331),h:0,n:0,cr:0;
p:(0.585139,0.241657),h:0,n:0,cr:0;
p:(0.567541,0.229294),h:0,n:0,cr:0;
p:(0.563003,0.243673),h:0,n:0,cr:0;
p:(0.541452,0.193301),h:0,n:0,cr:0;
p:(0.541697,0.205862),h:0,n:0,cr:0;
p:(0.545685,0.213891),h:0,n:0,cr:0;
p:(0.523459,0.2133),h:0,n:0,cr:0;
p:(0.519472,0.194971),h:0,n:0,cr:0;
p:(0.839699,0.230492),h:0,n:0,cr:0;
p:(0.864722,0.258691),h:0,n:0,cr:0;
p:(0.723928,0.210146),h:0,n:0,cr:0;
p:(0.889928,0.225514),h:0,n:0,cr:0;
p:(0.797397,0.206273),h:0,n:0,cr:0;
p:(0.837313,0.284004),h:0,n:0,cr:0;
p:(0.878862,0.230265),h:0,n:0,cr:0;
p:(0.832185,0.227788),h:0,n:0,cr:0;
p:(0.751839,0.231316),h:0,n:0,cr:0;
p:(0.747179,0.238699),h:0,n:0,cr:0;
p:(0.724337,0.193759),h:0,n:0,cr:0;
p:(0.780022,0.309731),h:0,n:0,cr:0;
p:(0.840181,0.290846),h:0,n:0,cr:0;
p:(0.779594,0.277692),h:0,n:0,cr:0;
p:(0.869082,0.272873),h:0,n:0,cr:0;
p:(0.724538,0.1938),h:0,n:0,cr:0;
p:(0.78832,0.260887),h:0,n:0,cr:0;
p:(0.849548,0.217647),h:0,n:0,cr:0;
p:(0.714329,0.197724),h:0,n:0,cr:0;
p:(0.843207,0.217747),h:0,n:0,cr:0;
p:(0.780033,0.258542),h:0,n:0,cr:0;
p:(0.761016,0.181204),h:0,n:0,cr:0;
p:(0.7304,0.295423),h:0,n:0,cr:0;
p:(0.751189,0.304698),h:0,n:0,cr:0;
p:(0.718848,0.325121),h:0,n:0,cr:0;
p:(0.710276,0.144027),h:0,n:0,cr:0;
p:(0.716582,0.141328),h:0,n:0,cr:0;
p:(0.715683,0.159689),h:0,n:0,cr:0;
p:(0.72877,0.154394),h:0,n:0,cr:0;
p:(0.749877,0.13364),h:0,n:0,cr:0;
p:(0.753903,0.103833),h:0,n:0,cr:0;
p:(0.752876,0.101291),h:0,n:0,cr:0;
p:(0.68707,0.0143249),h:0,n:0,cr:0;
p:(0.705292,0.0157569),h:0,n:0,cr:0;
p:(0.70488,0.0501888),h:0,n:0,cr:0;
p:(0.715113,0.0483141),h:0,n:0,cr:0;
p:(0.81513,0.187698),h:0,n:0,cr:0;
p:(0.529012,0.550196),h:0,n:0,cr:0;
p:(0.498256,0.574142),h:0,n:0,cr:0;
p:(0.49438,0.596691),h:0,n:0,cr:0;
p:(0.506268,0.587616),h:0,n:0,cr:0;
p:(0.455978,0.600694),h:0,n:0,cr:0;
p:(0.534604,0.514403),h:0,n:0,cr:0;
p:(0.547622,0.509404),h:0,n:0,cr:0;
p:(0.540447,0.531982),h:0,n:0,cr:0;
p:(0.526109,0.496921),h:0,n:0,cr:0;
p:(0.515804,0.504738),h:0,n:0,cr:0;
p:(0.5452,0.482013),h:0,n:0,cr:0;
p:(0.514471,0.507969),h:0,n:0,cr:0;
p:(0.456686,0.535864),h:0,n:0,cr:0;
p:(0.470261,0.502233),h:0,n:0,cr:0;
p:(0.450455,0.536331),h:0,n:0,cr:0;
p:(0.548422,0.600366),h:0,n:0,cr:0;
p:(0.535005,0.58911),h:0,n:0,cr:0;
p:(0.5049,0.596686),h:0,n:0,cr:0;
p:(0.578642,0.569447),h:0,n:0,cr:0;
p:(0.563698,0.563478),h:0,n:0,cr:0;
p:(0.540841,0.592067),h:0,n:0,cr:0;
p:(0.541981,0.605834),h:0,n:0,cr:0;
p:(0.567969,0.562303),h:0,n:0,cr:0;
p:(0.602366,0.560588),h:0,n:0,cr:0;
p:(0.56236,0.541718),h:0,n:0,cr:0;
p:(0.558652,0.550914),h:0,n:0,cr:0;
p:(0.59095,0.494695),h:0,n:0,cr:0;
p:(0.559476,0.5205),h:0,n:0,cr:0;
p:(0.609324,0.532772),h:0,n:0,cr:0;
p:(0.611297,0.555709),h:0,n:0,cr:0;
p:(0.596979,0.587929),h:0,n:0,cr:0;
p:(0.564354,0.635436),h:0,n:0,cr:0;
p:(0.599414,0.637504),h:0,n:0,cr:0;
p:(0.629803,0.485638),h:0,n:0,cr:0;
p:(0.5202,0.386623),h:0,n:0,cr:0;
p:(0.532311,0.392894),h:0,n:0,cr:0;
p:(0.49156,0.408476),h:0,n:0,cr:0;
p:(0.526416,0.424528),h:0,n:0,cr:0;
p:(0.537727,0.388935),h:0,n:0,cr:0;
p:(0.500557,0.435637),h:0,n:0,cr:0;
p:(0.48914,0.452431),h:0,n:0,cr:0;
p:(0.480724,0.446673),h:0,n:0,cr:0;
p:(0.538885,0.437204),h:0,n:0,cr:0;
p:(0.548702,0.450499),h:0,n:0,cr:0;
p:(0.468885,0.39063),h:0,n:0,cr:0;
p:(0.458617,0.423345),h:0,n:0,cr:0;
p:(0.447575,0.406461),h:0,n:0,cr:0;
p:(0.442254,0.445074),h:0,n:0,cr:0;
p:(0.40573,0.36713),h:0,n:0,cr:0;
p:(0.416099,0.352749),h:0,n:0,cr:0;
p:(0.402921,0.348181),h:0,n:0,cr:0;
p:(0.396338,0.34559),h:0,n:0,cr:0;
p:(0.511268,0.343662),h:0,n:0,cr:0;
p:(0.531851,0.363915),h:0,n:0,cr:0;
p:(0.499294,0.336788),h:0,n:0,cr:0;
p:(0.414503,0.334733),h:0,n:0,cr:0;
p:(0.387533,0.332055),h:0,n:0,cr:0;
p:(0.363683,0.320135),h:0,n:0,cr:0;
p:(0.453585,0.361275),h:0,n:0,cr:0;
p:(0.602993,0.485933),h:0,n:0,cr:0;
p:(0.602029,0.332865),h:0,n:0,cr:0;
p:(0.556419,0.438827),h:0,n:0,cr:0;
p:(0.583064,0.41599),h:0,n:0,cr:0;
p:(0.660211,0.432577),h:0,n:0,cr:0;
p:(0.660101,0.423501),h:0,n:0,cr:0;
p:(0.582846,0.457498),h:0,n:0,cr:0;
p:(0.549877,0.410251),h:0,n:0,cr:0;
p:(0.623121,0.417991),h:0,n:0,cr:0;
p:(0.606173,0.420105),h:0,n:0,cr:0;
p:(0.645092,0.421265),h:0,n:0,cr:0;
p:(0.663256,0.472505),h:0,n:0,cr:0;
p:(0.615766,0.378703),h:0,n:0,cr:0;
p:(0.597565,0.461844),h:0,n:0,cr:0;
p:(0.580758,0.342515),h:0,n:0,cr:0;
p:(0.62419,0.367049),h:0,n:0,cr:0;
p:(0.676897,0.463261),h:0,n:0,cr:0;
p:(0.643847,0.440704),h:0,n:0,cr:0;
p:(0.618551,0.471407),h:0,n:0,cr:0;
p:(0.656994,0.35948),h:0,n:0,cr:0;
p:(0.617796,0.384871),h:0,n:0,cr:0;
p:(0.601462,0.346921),h:0,n:0,cr:0;
p:(0.703131,0.40952),h:0,n:0,cr:0;
p:(0.593739,0.379137),h:0,n:0,cr:0;
p:(0.670786,0.340529),h:0,n:0,cr:0;
p:(0.384829,0.476826),h:0,n:0,cr:0;
p:(0.378208,0.46999),h:0,n:0,cr:0;
p:(0.377622,0.475121),h:0,n:0,cr:0;
p:(0.439218,0.503229),h:0,n:0,cr:0;
p:(0.400568,0.46634),h:0,n:0,cr:0;
p:(0.396459,0.445228),h:0,n:0,cr:0;
p:(0.397798,0.44319),h:0,n:0,cr:0;
p:(0.413254,0.449104),h:0,n:0,cr:0;
p:(0.454222,0.482545),h:0,n:0,cr:0;
p:(0.406109,0.42922),h:0,n:0,cr:0;
p:(0.425061,0.451101),h:0,n:0,cr:0;
p:(0.405731,0.403338),h:0,n:0,cr:0;
p:(0.372081,0.540034),h:0,n:0,cr:0;
p:(0.388878,0.542751),h:0,n:0,cr:0;
p:(0.396316,0.553253),h:0,n:0,cr:0;
p:(0.41749,0.562062),h:0,n:0,cr:0;
p:(0.408899,0.571411),h:0,n:0,cr:0;
p:(0.358608,0.320998),h:0,n:0,cr:0;
p:(0.59325,0.0883907),h:0,n:0,cr:0;
p:(0.580859,0.078372),h:0,n:0,cr:0;
p:(0.61023,0.0729935),h:0,n:0,cr:0;
p:(0.5841,0.0624273),h:0,n:0,cr:0;
p:(0.625895,0.0785722),h:0,n:0,cr:0;
p:(0.632072,0.0393215),h:0,n:0,cr:0;
p:(0.667101,0.0529994),h:0,n:0,cr:0;
p:(0.666248,0.0635107),h:0,n:0,cr:0;
p:(0.662851,0.0641429),h:0,n:0,cr:0;
p:(0.618652,0.0365678),h:0,n:0,cr:0;
p:(0.598237,0.141483),h:0,n:0,cr:0;
p:(0.584851,0.120332),h:0,n:0,cr:0;
p:(0.633928,0.126453),h:0,n:0,cr:0;
p:(0.596168,0.0173737),h:0,n:0,cr:0;
p:(0.593499,0.0133789),h:0,n:0,cr:0;
p:(0.574082,0.0289453),h:0,n:0,cr:0;
p:(0.569205,0.141206),h:0,n:0,cr:0;
p:(0.572975,0.143399),h:0,n:0,cr:0;
p:(0.566481,0.136391),h:0,n:0,cr:0;
p:(0.547817,0.0850364),h:0,n:0,cr:0;
p:(0.535966,0.0775532),h:0,n:0,cr:0;
p:(0.538369,0.0609112),h:0,n:0,cr:0;
p:(0.524426,0.0739651),h:0,n:0,cr:0;
p:(0.511157,0.0934556),h:0,n:0,cr:0;
p:(0.494684,0.0995831),h:0,n:0,cr:0;
p:(0.487068,0.0750895),h:0,n:0,cr:0;
p:(0.470965,0.0616967),h:0,n:0,cr:0;
p:(0.523695,0.0222246),h:0,n:0,cr:0;
p:(0.545361,0.0219285),h:0,n:0,cr:0;
p:(0.494236,0.0301961),h:0,n:0,cr:0;
p:(0.452447,0.0117247),h:0,n:0,cr:0;
