p:(0.593242,0.482821),h:1,n:84,cr:0.114292;
p:(0.606707,0.594206),h:0,n:0,cr:0;
p:(0.607652,0.570833),h:0,n:0,cr:0;
p:(0.599953,0.57961),h:0,n:0,cr:0;
p:(0.615032,0.581817),h:0,n:0,cr:0;
p:(0.583205,0.556954),h:0,n:0,cr:0;
p:(0.580536,0.55744),h:0,n:0,cr:0;
p:(0.589745,0.558067),h:0,n:0,cr:0;
p:(0.585513,0.550457),h:0,n:0,cr:0;
p:(0.572801,0.540956),h:0,n:0,cr:0;
p:(0.631949,0.523901),h:0,n:0,cr:0;
p:(0.630698,0.52543),h:0,n:0,cr:0;
p:(0.626748,0.522211),h:0,n:0,cr:0;
p:(0.633562,0.514973),h:0,n:0,cr:0;
p:(0.642192,0.529777),h:0,n:0,cr:0;
p:(0.641594,0.530895),h:0,n:0,cr:0;
p:(0.634614,0.542725),h:0,n:0,cr:0;
p:(0.657039,0.537708),h:0,n:0,cr:0;
p:(0.660797,0.517491),h:0,n:0,cr:0;
p:(0.661139,0.521784),h:0,n:0,cr:0;
p:(0.606476,0.510891),h:0,n:0,cr:0;
p:(0.586249,0.43501),h:0,n:0,cr:0;
p:(0.580782,0.438273),h:0,n:0,cr:0;
p:(0.596184,0.428381),h:0,n:0,cr:0;
p:(0.59643,0.440899),h:0,n:0,cr:0;
p:(0.590924,0.44612),h:0,n:0,cr:0;
p:(0.598421,0.452163),h:0,n:0,cr:0;
p:(0.609198,0.436643),h:0,n:0,cr:0;
p:(0.612498,0.450777),h:0,n:0,cr:0;
p:(0.614253,0.453075),h:0,n:0,cr:0;
p:(0.549165,0.423837),h:0,n:0,cr:0;
p:(0.554085,0.426442),h:0,n:0,cr:0;
p:(0.557609,0.421305),h:0,n:0,cr:0;
p:(0.557847,0.434317),h:0,n:0,cr:0;
p:(0.563995,0.435899),h:0,n:0,cr:0;
p:(0.572694,0.441868),h:0,n:0,cr:0;
p:(0.57444,0.449524),h:0,n:0,cr:0;
p:(0.580897,0.455996),h:0,n:0,cr:0;
p:(0.585277,0.460126),h:0,n:0,cr:0;
p:(0.577591,0.424016),h:0,n:0,cr:0;
p:(0.576806,0.428536),h:0,n:0,cr:0;
p:(0.578872,0.416675),h:0,n:0,cr:0;
p:(0.586481,0.418031),h:0,n:0,cr:0;
p:(0.583216,0.422692),h:0,n:0,cr:0;
p:(0.585386,0.403355),h:0,n:0,cr:0;
p:(0.582614,0.406263),h:0,n:0,cr:0;
p:(0.626955,0.414944),h:0,n:0,cr:0;
p:(0.628665,0.415359),h:0,n:0,cr:0;
p:(0.619367,0.411362),h:0,n:0,cr:0;
p:(0.633573,0.421978),h:0,n:0,cr:0;
p:(0.609579,0.409016),h:0,n:0,cr:0;
p:(0.606736,0.411084),h:0,n:0,cr:0;
p:(0.613925,0.391886),h:0,n:0,cr:0;
p:(0.624976,0.434569),h:0,n:0,cr:0;
p:(0.618434,0.437238),h:0,n:0,cr:0;
p:(0.632666,0.386071),h:0,n:0,cr:0;
p:(0.628562,0.395606),h:0,n:0,cr:0;
p:(0.91284,0.821503),h:0,n:0,cr:0;
p:(0.917018,0.825466),h:0,n:0,cr:0;
p:(0.905137,0.820533),h:0,n:0,cr:0;
p:(0.914424,0.813521),h:0,n:0,cr:0;
p:(0.940569,0.820418),h:0,n:0,cr:0;
p:(0.931074,0.824978),h:0,n:0,cr:0;
p:(0.930096,0.83767),h:0,n:0,cr:0;
p:(0.927271,0.838911),h:0,n:0,cr:0;
p:(0.928549,0.799073),h:0,n:0,cr:0;
p:(0.928026,0.803481),h:0,n:0,cr:0;
p:(0.92358,0.798414),h:0,n:0,cr:0;
p:(0.930961,0.810843),h:0,n:0,cr:0;
p:(0.949911,0.838262),h:0,n:0,cr:0;
p:(0.952106,0.839672),h:0,n:0,cr:0;
p:(0.942283,0.834873),h:0,n:0,cr:0;
p:(0.959446,0.840264),h:0,n:0,cr:0;
p:(0.947831,0.850196),h:0,n:0,cr:0;
p:(0.945134,0.861509),h:0,n:0,cr:0;
p:(0.957541,0.857328),h:0,n:0,cr:0;
p:(0.952436,0.861781),h:0,n:0,cr:0;
p:(0.891968,0.881077),h:0,n:0,cr:0;
p:(0.896926,0.884156),h:0,n:0,cr:0;
p:(0.897791,0.871077),h:0,n:0,cr:0;
p:(0.901443,0.889124),h:0,n:0,cr:0;
p:(0.894185,0.893747),h:0,n:0,cr:0;
p:(0.920757,0.870295),h:0,n:0,cr:0;
p:(0.912117,0.873079),h:0,n:0,cr:0;
p:(0.933845,0.871019),h:0,n:0,cr:0;
p:(0.883796,0.796787),h:0,n:0,cr:0;
p:(0.878896,0.800762),h:0,n:0,cr:0;
p:(0.885129,0.784185),h:0,n:0,cr:0;
p:(0.887786,0.809092),h:0,n:0,cr:0;
p:(0.873043,0.821902),h:0,n:0,cr:0;
p:(0.866698,0.822376),h:0,n:0,cr:0;
p:(0.873557,0.83304),h:0,n:0,cr:0;
p:(0.864765,0.807532),h:0,n:0,cr:0;
p:(0.898008,0.836308),h:0,n:0,cr:0;
p:(0.905583,0.838685),h:0,n:0,cr:0;
p:(0.893227,0.843347),h:0,n:0,cr:0;
p:(0.89131,0.856258),h:0,n:0,cr:0;
p:(0.877548,0.877726),h:0,n:0,cr:0;
p:(0.872711,0.879646),h:0,n:0,cr:0;
p:(0.875902,0.883819),h:0,n:0,cr:0;
p:(0.86634,0.883552),h:0,n:0,cr:0;
p:(0.859033,0.87947),h:0,n:0,cr:0;
p:(0.85835,0.880753),h:0,n:0,cr:0;
p:(0.858354,0.88834),h:0,n:0,cr:0;
p:(0.86914,0.897397),h:0,n:0,cr:0;
p:(0.872165,0.90637),h:0,n:0,cr:0;
p:(0.881101,0.902755),h:0,n:0,cr:0;
p:(0.841848,0.894327),h:0,n:0,cr:0;
p:(0.837212,0.894331),h:0,n:0,cr:0;
p:(0.841274,0.900196),h:0,n:0,cr:0;
p:(0.849052,0.86391),h:0,n:0,cr:0;
p:(0.861542,0.867339),h:0,n:0,cr:0;
p:(0.843206,0.849018),h:0,n:0,cr:0;
p:(0.839475,0.877019),h:0,n:0,cr:0;
p:(0.977587,0.866447),h:0,n:0,cr:0;
p:(0.976654,0.868918),h:0,n:0,cr:0;
p:(0.976233,0.873949),h:0,n:0,cr:0;
p:(0.977303,0.881388),h:0,n:0,cr:0;
p:(0.986254,0.868084),h:0,n:0,cr:0;
p:(0.991203,0.871292),h:0,n:0,cr:0;
p:(0.970631,0.858853),h:0,n:0,cr:0;
p:(0.98173,0.854336),h:0,n:0,cr:0;
p:(0.998549,0.850011),h:0,n:0,cr:0;
p:(0.991604,0.85531),h:0,n:0,cr:0;
p:(0.993183,0.885998),h:0,n:0,cr:0;
p:(0.990865,0.886221),h:0,n:0,cr:0;
p:(0.998776,0.883588),h:0,n:0,cr:0;
p:(0.983145,0.886388),h:0,n:0,cr:0;
p:(0.986845,0.895256),h:0,n:0,cr:0;
p:(0.999541,0.873322),h:0,n:0,cr:0;
p:(0.992985,0.904621),h:0,n:0,cr:0;
p:(0.995125,0.913625),h:0,n:0,cr:0;
p:(0.979113,0.904526),h:0,n:0,cr:0;
p:(0.966254,0.888431),h:0,n:0,cr:0;
p:(0.963105,0.889853),h:0,n:0,cr:0;
p:(0.96372,0.894498),h:0,n:0,cr:0;
p:(0.952256,0.888132),h:0,n:0,cr:0;
p:(0.958071,0.877435),h:0,n:0,cr:0;
p:(0.957078,0.883105),h:0,n:0,cr:0;
p:(0.941126,0.887978),h:0,n:0,cr:0;
p:(0.930801,0.89135),h:0,n:0,cr:0;
p:(0.944069,0.898918),h:0,n:0,cr:0;
p:(0.93989,0.902784),h:0,n:0,cr:0;
p:(0.957425,0.904785),h:0,n:0,cr:0;
p:(0.266809,0.946201),h:0,n:0,cr:0;
p:(0.263179,0.948152),h:0,n:0,cr:0;
p:(0.267742,0.951445),h:0,n:0,cr:0;
p:(0.273535,0.938638),h:0,n:0,cr:0;
p:(0.261372,0.932449),h:0,n:0,cr:0;
p:(0.248941,0.934248),h:0,n:0,cr:0;
p:(0.249495,0.947581),h:0,n:0,cr:0;
p:(0.269087,0.964479),h:0,n:0,cr:0;
p:(0.264749,0.973971),h:0,n:0,cr:0;
p:(0.283764,0.9393),h:0,n:0,cr:0;
p:(0.282083,0.942376),h:0,n:0,cr:0;
p:(0.277753,0.984128),h:0,n:0,cr:0;
p:(0.269875,0.985841),h:0,n:0,cr:0;
p:(0.281243,0.994779),h:0,n:0,cr:0;
p:(0.292685,0.995064),h:0,n:0,cr:0;
p:(0.291146,0.998258),h:0,n:0,cr:0;
p:(0.297829,0.990559),h:0,n:0,cr:0;
p:(0.293646,0.967916),h:0,n:0,cr:0;
p:(0.292326,0.976041),h:0,n:0,cr:0;
p:(0.314445,0.935406),h:0,n:0,cr:0;
p:(0.310437,0.93947),h:0,n:0,cr:0;
p:(0.316507,0.941528),h:0,n:0,cr:0;
p:(0.30171,0.947596),h:0,n:0,cr:0;
p:(0.317771,0.92391),h:0,n:0,cr:0;
p:(0.319772,0.925105),h:0,n:0,cr:0;
p:(0.293228,0.916303),h:0,n:0,cr:0;
p:(0.344124,0.930191),h:0,n:0,cr:0;
p:(0.350249,0.93785),h:0,n:0,cr:0;
p:(0.334241,0.942025),h:0,n:0,cr:0;
p:(0.336353,0.905054),h:0,n:0,cr:0;
p:(0.352478,0.907498),h:0,n:0,cr:0;
p:(0.294688,0.866572),h:0,n:0,cr:0;
p:(0.288243,0.868421),h:0,n:0,cr:0;
p:(0.288767,0.887053),h:0,n:0,cr:0;
p:(0.27363,0.888187),h:0,n:0,cr:0;
p:(0.397914,0.972272),h:0,n:0,cr:0;
p:(0.391186,0.974497),h:0,n:0,cr:0;
p:(0.386655,0.959271),h:0,n:0,cr:0;
p:(0.389436,0.988741),h:0,n:0,cr:0;
p:(0.397076,0.989881),h:0,n:0,cr:0;
p:(0.388037,0.99745),h:0,n:0,cr:0;
p:(0.365444,0.97509),h:0,n:0,cr:0;
p:(0.365498,0.981454),h:0,n:0,cr:0;
p:(0.360975,0.969665),h:0,n:0,cr:0;
p:(0.375145,0.974653),h:0,n:0,cr:0;
p:(0.382183,0.977708),h:0,n:0,cr:0;
p:(0.371027,0.995097),h:0,n:0,cr:0;
p:(0.369621,0.94916),h:0,n:0,cr:0;
p:(0.349525,0.954998),h:0,n:0,cr:0;
p:(0.33416,0.972995),h:0,n:0,cr:0;
p:(0.340037,0.977235),h:0,n:0,cr:0;
p:(0.326485,0.976764),h:0,n:0,cr:0;
p:(0.324416,0.964964),h:0,n:0,cr:0;
p:(0.345994,0.983817),h:0,n:0,cr:0;
p:(0.341529,0.985514),h:0,n:0,cr:0;
p:(0.346216,0.997344),h:0,n:0,cr:0;
p:(0.319956,0.986584),h:0,n:0,cr:0;
p:(0.422639,0.941355),h:0,n:0,cr:0;
p:(0.424065,0.941717),h:0,n:0,cr:0;
p:(0.416828,0.94057),h:0,n:0,cr:0;
p:(0.43121,0.938871),h:0,n:0,cr:0;
p:(0.424594,0.924102),h:0,n:0,cr:0;
p:(0.430521,0.926777),h:0,n:0,cr:0;
p:(0.410353,0.930444),h:0,n:0,cr:0;
p:(0.402421,0.951608),h:0,n:0,cr:0;
p:(0.39751,0.95764),h:0,n:0,cr:0;
p:(0.389563,0.937046),h:0,n:0,cr:0;
p:(0.439885,0.965232),h:0,n:0,cr:0;
p:(0.451074,0.968289),h:0,n:0,cr:0;
p:(0.436433,0.95237),h:0,n:0,cr:0;
p:(0.42369,0.968186),h:0,n:0,cr:0;
p:(0.419471,0.988215),h:0,n:0,cr:0;
p:(0.439804,0.99348),h:0,n:0,cr:0;
p:(0.806186,0.423701),h:0,n:0,cr:0;
p:(0.807411,0.42548),h:0,n:0,cr:0;
p:(0.811404,0.421192),h:0,n:0,cr:0;
p:(0.80897,0.429086),h:0,n:0,cr:0;
p:(0.797999,0.435928),h:0,n:0,cr:0;
p:(0.798824,0.445399),h:0,n:0,cr:0;
p:(0.818501,0.437571),h:0,n:0,cr:0;
p:(0.824423,0.441374),h:0,n:0,cr:0;
p:(0.809641,0.446025),h:0,n:0,cr:0;
p:(0.825919,0.427629),h:0,n:0,cr:0;
p:(0.831571,0.436933),h:0,n:0,cr:0;
p:(0.833057,0.443965),h:0,n:0,cr:0;
p:(0.83969,0.440011),h:0,n:0,cr:0;
p:(0.826141,0.452171),h:0,n:0,cr:0;
p:(0.825082,0.45814),h:0,n:0,cr:0;
p:(0.81881,0.452514),h:0,n:0,cr:0;
p:(0.843222,0.456159),h:0,n:0,cr:0;
p:(0.838403,0.457324),h:0,n:0,cr:0;
p:(0.848998,0.457186),h:0,n:0,cr:0;
p:(0.788158,0.474449),h:0,n:0,cr:0;
p:(0.785651,0.476588),h:0,n:0,cr:0;
p:(0.790172,0.470882),h:0,n:0,cr:0;
p:(0.783108,0.479166),h:0,n:0,cr:0;
p:(0.788197,0.487383),h:0,n:0,cr:0;
p:(0.781938,0.458806),h:0,n:0,cr:0;
p:(0.81726,0.46738),h:0,n:0,cr:0;
p:(0.820731,0.470723),h:0,n:0,cr:0;
p:(0.808897,0.466932),h:0,n:0,cr:0;
p:(0.80291,0.459239),h:0,n:0,cr:0;
p:(0.841229,0.507118),h:0,n:0,cr:0;
p:(0.840418,0.513804),h:0,n:0,cr:0;
p:(0.843382,0.524407),h:0,n:0,cr:0;
p:(0.823887,0.503893),h:0,n:0,cr:0;
p:(0.82966,0.505687),h:0,n:0,cr:0;
p:(0.833252,0.48483),h:0,n:0,cr:0;
p:(0.829702,0.493271),h:0,n:0,cr:0;
p:(0.834078,0.473089),h:0,n:0,cr:0;
p:(0.796227,0.508833),h:0,n:0,cr:0;
p:(0.797457,0.516218),h:0,n:0,cr:0;
p:(0.806158,0.501914),h:0,n:0,cr:0;
p:(0.893092,0.468701),h:0,n:0,cr:0;
p:(0.897087,0.476356),h:0,n:0,cr:0;
p:(0.876381,0.472907),h:0,n:0,cr:0;
p:(0.892456,0.48904),h:0,n:0,cr:0;
p:(0.890246,0.497757),h:0,n:0,cr:0;
p:(0.902722,0.485673),h:0,n:0,cr:0;
p:(0.859943,0.480356),h:0,n:0,cr:0;
p:(0.871622,0.484429),h:0,n:0,cr:0;
p:(0.879705,0.507608),h:0,n:0,cr:0;
p:(0.874123,0.513994),h:0,n:0,cr:0;
p:(0.761475,0.485367),h:0,n:0,cr:0;
p:(0.760931,0.489548),h:0,n:0,cr:0;
p:(0.770453,0.491845),h:0,n:0,cr:0;
p:(0.753265,0.492992),h:0,n:0,cr:0;
p:(0.752617,0.494218),h:0,n:0,cr:0;
p:(0.740742,0.487513),h:0,n:0,cr:0;
p:(0.741888,0.488685),h:0,n:0,cr:0;
p:(0.742359,0.491333),h:0,n:0,cr:0;
p:(0.735944,0.501357),h:0,n:0,cr:0;
p:(0.759482,0.512068),h:0,n:0,cr:0;
p:(0.764586,0.515922),h:0,n:0,cr:0;
p:(0.756405,0.520403),h:0,n:0,cr:0;
p:(0.746921,0.51013),h:0,n:0,cr:0;
p:(0.739594,0.512412),h:0,n:0,cr:0;
p:(0.757229,0.466004),h:0,n:0,cr:0;
p:(0.756011,0.468345),h:0,n:0,cr:0;
p:(0.762289,0.464285),h:0,n:0,cr:0;
p:(0.766872,0.469378),h:0,n:0,cr:0;
p:(0.761734,0.447874),h:0,n:0,cr:0;
p:(0.509292,0.779325),h:0,n:0,cr:0;
p:(0.506659,0.780414),h:0,n:0,cr:0;
p:(0.513511,0.780172),h:0,n:0,cr:0;
p:(0.502986,0.781502),h:0,n:0,cr:0;
p:(0.507659,0.785323),h:0,n:0,cr:0;
p:(0.500241,0.774585),h:0,n:0,cr:0;
p:(0.496609,0.794082),h:0,n:0,cr:0;
p:(0.494457,0.796845),h:0,n:0,cr:0;
p:(0.499033,0.788984),h:0,n:0,cr:0;
p:(0.502936,0.793865),h:0,n:0,cr:0;
p:(0.510785,0.794724),h:0,n:0,cr:0;
p:(0.517273,0.803919),h:0,n:0,cr:0;
p:(0.482241,0.804595),h:0,n:0,cr:0;
p:(0.476506,0.806511),h:0,n:0,cr:0;
p:(0.484714,0.775942),h:0,n:0,cr:0;
p:(0.481402,0.778305),h:0,n:0,cr:0;
p:(0.492048,0.773876),h:0,n:0,cr:0;
p:(0.480319,0.789634),h:0,n:0,cr:0;
p:(0.498927,0.819754),h:0,n:0,cr:0;
p:(0.499554,0.824622),h:0,n:0,cr:0;
p:(0.504097,0.827131),h:0,n:0,cr:0;
p:(0.486724,0.732344),h:0,n:0,cr:0;
p:(0.484679,0.73611),h:0,n:0,cr:0;
p:(0.492216,0.73835),h:0,n:0,cr:0;
p:(0.473953,0.747559),h:0,n:0,cr:0;
p:(0.476422,0.758957),h:0,n:0,cr:0;
p:(0.45653,0.752789),h:0,n:0,cr:0;
p:(0.49837,0.754215),h:0,n:0,cr:0;
p:(0.49767,0.756292),h:0,n:0,cr:0;
p:(0.500578,0.757721),h:0,n:0,cr:0;
p:(0.503133,0.74908),h:0,n:0,cr:0;
p:(0.506307,0.765685),h:0,n:0,cr:0;
p:(0.509992,0.766774),h:0,n:0,cr:0;
p:(0.555877,0.831219),h:0,n:0,cr:0;
p:(0.556316,0.833046),h:0,n:0,cr:0;
p:(0.561591,0.83132),h:0,n:0,cr:0;
p:(0.543186,0.839314),h:0,n:0,cr:0;
p:(0.548941,0.816907),h:0,n:0,cr:0;
p:(0.545405,0.821135),h:0,n:0,cr:0;
p:(0.548915,0.80961),h:0,n:0,cr:0;
p:(0.52925,0.812311),h:0,n:0,cr:0;
p:(0.536635,0.818361),h:0,n:0,cr:0;
p:(0.538149,0.804767),h:0,n:0,cr:0;
p:(0.515932,0.818972),h:0,n:0,cr:0;
p:(0.522227,0.832919),h:0,n:0,cr:0;
p:(0.517509,0.836539),h:0,n:0,cr:0;
p:(0.523675,0.824567),h:0,n:0,cr:0;
p:(0.545495,0.781203),h:0,n:0,cr:0;
p:(0.549723,0.7839),h:0,n:0,cr:0;
p:(0.545483,0.786682),h:0,n:0,cr:0;
p:(0.547343,0.789428),h:0,n:0,cr:0;
p:(0.53768,0.792368),h:0,n:0,cr:0;
p:(0.556367,0.784574),h:0,n:0,cr:0;
p:(0.554988,0.785402),h:0,n:0,cr:0;
p:(0.536647,0.775355),h:0,n:0,cr:0;
p:(0.536985,0.777837),h:0,n:0,cr:0;
p:(0.539682,0.779477),h:0,n:0,cr:0;
p:(0.526849,0.774824),h:0,n:0,cr:0;
p:(0.528983,0.778269),h:0,n:0,cr:0;
p:(0.472936,0.828447),h:0,n:0,cr:0;
p:(0.467587,0.829935),h:0,n:0,cr:0;
p:(0.475017,0.823265),h:0,n:0,cr:0;
p:(0.448226,0.834424),h:0,n:0,cr:0;
p:(0.44371,0.837751),h:0,n:0,cr:0;
p:(0.520583,0.727558),h:0,n:0,cr:0;
p:(0.519865,0.7348),h:0,n:0,cr:0;
p:(0.505386,0.729764),h:0,n:0,cr:0;
p:(0.522876,0.744137),h:0,n:0,cr:0;
p:(0.525207,0.755036),h:0,n:0,cr:0;
p:(0.546487,0.737674),h:0,n:0,cr:0;
p:(0.549599,0.743135),h:0,n:0,cr:0;
p:(0.533886,0.732348),h:0,n:0,cr:0;
p:(0.570765,0.740261),h:0,n:0,cr:0;
p:(0.55704,0.692052),h:0,n:0,cr:0;
p:(0.555728,0.69892),h:0,n:0,cr:0;
p:(0.572176,0.702145),h:0,n:0,cr:0;
p:(0.543257,0.70914),h:0,n:0,cr:0;
p:(0.541896,0.71933),h:0,n:0,cr:0;
p:(0.556542,0.709905),h:0,n:0,cr:0;
p:(0.486277,0.694335),h:0,n:0,cr:0;
p:(0.484206,0.697698),h:0,n:0,cr:0;
p:(0.50123,0.700058),h:0,n:0,cr:0;
p:(0.508453,0.702132),h:0,n:0,cr:0;
p:(0.516828,0.695007),h:0,n:0,cr:0;
p:(0.481717,0.711174),h:0,n:0,cr:0;
p:(0.482678,0.72298),h:0,n:0,cr:0;
p:(0.19387,0.0644633),h:0,n:0,cr:0;
p:(0.191263,0.0661214),h:0,n:0,cr:0;
p:(0.191652,0.0611426),h:0,n:0,cr:0;
p:(0.19661,0.0718841),h:0,n:0,cr:0;
p:(0.180553,0.0668425),h:0,n:0,cr:0;
p:(0.176444,0.0725372),h:0,n:0,cr:0;
p:(0.202148,0.0629915),h:0,n:0,cr:0;
p:(0.203738,0.0668373),h:0,n:0,cr:0;
p:(0.181881,0.10305),h:0,n:0,cr:0;
p:(0.183267,0.104583),h:0,n:0,cr:0;
p:(0.181262,0.100806),h:0,n:0,cr:0;
p:(0.181163,0.086513),h:0,n:0,cr:0;
p:(0.181639,0.093197),h:0,n:0,cr:0;
p:(0.214015,0.0751381),h:0,n:0,cr:0;
p:(0.211168,0.0752615),h:0,n:0,cr:0;
p:(0.215909,0.0914705),h:0,n:0,cr:0;
p:(0.206564,0.0940199),h:0,n:0,cr:0;
p:(0.229935,0.100804),h:0,n:0,cr:0;
p:(0.233942,0.107239),h:0,n:0,cr:0;
p:(0.278537,0.0741757),h:0,n:0,cr:0;
p:(0.276909,0.0763509),h:0,n:0,cr:0;
p:(0.292913,0.0763844),h:0,n:0,cr:0;
p:(0.258118,0.0626297),h:0,n:0,cr:0;
p:(0.25171,0.0857107),h:0,n:0,cr:0;
p:(0.248942,0.0861258),h:0,n:0,cr:0;
p:(0.244707,0.108919),h:0,n:0,cr:0;
p:(0.281867,0.10708),h:0,n:0,cr:0;
p:(0.274553,0.112071),h:0,n:0,cr:0;
p:(0.277903,0.128188),h:0,n:0,cr:0;
p:(0.267259,0.130586),h:0,n:0,cr:0;
p:(0.253493,0.136927),h:0,n:0,cr:0;
p:(0.253559,0.140084),h:0,n:0,cr:0;
p:(0.259069,0.140713),h:0,n:0,cr:0;
p:(0.255372,0.143539),h:0,n:0,cr:0;
p:(0.263653,0.146035),h:0,n:0,cr:0;
p:(0.258137,0.122546),h:0,n:0,cr:0;
p:(0.221945,0.140754),h:0,n:0,cr:0;
p:(0.232501,0.145719),h:0,n:0,cr:0;
p:(0.233753,0.129582),h:0,n:0,cr:0;
p:(0.238598,0.162512),h:0,n:0,cr:0;
p:(0.25024,0.164838),h:0,n:0,cr:0;
p:(0.22996,0.176417),h:0,n:0,cr:0;
p:(0.230467,0.0559029),h:0,n:0,cr:0;
p:(0.228764,0.0564642),h:0,n:0,cr:0;
p:(0.224801,0.0614467),h:0,n:0,cr:0;
p:(0.235779,0.048365),h:0,n:0,cr:0;
p:(0.236191,0.0442557),h:0,n:0,cr:0;
p:(0.239793,0.0632881),h:0,n:0,cr:0;
p:(0.230264,0.0361221),h:0,n:0,cr:0;
p:(0.225292,0.0393802),h:0,n:0,cr:0;
p:(0.219153,0.0440898),h:0,n:0,cr:0;
p:(0.214671,0.0563416),h:0,n:0,cr:0;
p:(0.232477,0.0222575),h:0,n:0,cr:0;
p:(0.238289,0.0223621),h:0,n:0,cr:0;
p:(0.238639,0.029992),h:0,n:0,cr:0;
p:(0.248662,0.0105439),h:0,n:0,cr:0;
p:(0.254183,0.0325461),h:0,n:0,cr:0;
p:(0.254465,0.0334678),h:0,n:0,cr:0;
p:(0.253264,0.0279502),h:0,n:0,cr:0;
p:(0.199971,0.0206988),h:0,n:0,cr:0;
p:(0.202039,0.0231401),h:0,n:0,cr:0;
p:(0.194178,0.0169256),h:0,n:0,cr:0;
p:(0.178506,0.0227251),h:0,n:0,cr:0;
p:(0.183402,0.0318512),h:0,n:0,cr:0;
p:(0.18216,0.0437822),h:0,n:0,cr:0;
p:(0.205323,0.168458),h:0,n:0,cr:0;
p:(0.207089,0.168966),h:0,n:0,cr:0;
p:(0.20509,0.170782),h:0,n:0,cr:0;
p:(0.213019,0.168311),h:0,n:0,cr:0;
p:(0.197708,0.155214),h:0,n:0,cr:0;
