p:(0.460652,0.471639),h:3,n:3,cr:0.744007;
p:(0.729398,0.225236),h:1,n:41,cr:0.068482;
p:(0.752479,0.297933),h:1,n:40,cr:0.128824;
p:(0.394521,0.706067),h:1,n:36,cr:0.113805;
p:(0.35036,0.68667),h:1,n:56,cr:0.0691576;
p:(0.400229,0.891529),h:1,n:40,cr:0.0832508;
p:(0.427328,0.934495),h:1,n:42,cr:0.0820078;
p:(0.61264,0.296032),h:1,n:68,cr:0.13332;
p:(0.687861,0.165974),h:1,n:57,cr:0.0976747;
p:(0.70091,0.518151),h:1,n:56,cr:0.10418;
p:(0.304285,0.888723),h:1,n:49,cr:0.112877;
p:(0.284293,0.738534),h:1,n:46,cr:0.0590973;
p:(0.335223,0.76823),h:1,n:64,cr:0.0945985;
p:(0.375207,0.760249),h:1,n:53,cr:0.070785;
p:(0.532846,0.154724),h:1,n:45,cr:0.049656;
p:(0.525995,0.0860558),h:1,n:70,cr:0.0825469;
p:(0.482491,0.215825),h:1,n:59,cr:0.0884081;
p:(0.447034,0.226107),h:1,n:40,cr:0.104361;
p:(0.380215,0.382167),h:1,n:66,cr:0.082914;
p:(0.614227,0.070557),h:1,n:49,cr:0.073922;
p:(0.555398,0.0145793),h:1,n:42,cr:0.0814597;
p:(0.635712,0.717297),h:1,n:69,cr:0.142663;
p:(0.639458,0.759735),h:1,n:54,cr:0.0878902;
p:(0.889343,0.646712),h:1,n:46,cr:0.115642;
p:(0.956468,0.58864),h:1,n:51,cr:0.110682;
p:(0.673936,0.63764),h:1,n:45,cr:0.120854;
p:(0.868924,0.547397),h:1,n:52,cr:0.0696418;
p:(0.745154,0.530552),h:1,n:47,cr:0.0758305;
p:(0.998925,0.218257),h:1,n:69,cr:0.0971261;
p:(0.984752,0.935004),h:1,n:68,cr:0.173374;
p:(0.840188,0.394383),h:1,n:42,cr:0.0734157;
p:(0.783099,0.79844),h:1,n:37,cr:0.164035;
p:(0.657304,0.858676),h:1,n:59,cr:0.0962126;
p:(0.79549,0.865086),h:1,n:55,cr:0.0830591;
p:(0.783282,0.774386),h:1,n:51,cr:0.168991;
p:(0.793657,0.548042),h:1,n:65,cr:0.0835307;
p:(0.856826,0.909512),h:1,n:36,cr:0.0639994;
p:(0.807725,0.919026),h:1,n:42,cr:0.0730264;
p:(0.873271,0.831038),h:1,n:53,cr:0.0699546;
p:(0.95223,0.916195),h:1,n:37,cr:0.0645653;
p:(0.887197,0.933273),h:1,n:41,cr:0.0617215;
p:(0.902208,0.85092),h:1,n:43,cr:0.0769268;
p:(0.864579,0.492399),h:1,n:39,cr:0.0821289;
p:(0.832609,0.515049),h:1,n:41,cr:0.10802;
p:(0.738959,0.932485),h:1,n:47,cr:0.0873686;
p:(0.684219,0.910972),h:1,n:48,cr:0.100054;
p:(0.656564,0.967405),h:1,n:54,cr:0.0754599;
p:(0.797798,0.732654),h:1,n:36,cr:0.117004;
p:(0.782262,0.719462),h:1,n:43,cr:0.100031;
p:(0.764871,0.699075),h:1,n:61,cr:0.100173;
p:(0.979434,0.743811),h:1,n:72,cr:0.151384;
p:(0.576971,0.877614),h:1,n:67,cr:0.0803005;
p:(0.928,0.459365),h:1,n:43,cr:0.104362;
p:(0.944318,0.450918),h:1,n:46,cr:0.11577;
p:(0.838134,0.724252),h:1,n:58,cr:0.0980788;
p:(0.93081,0.720952),h:1,n:72,cr:0.109596;
p:(0.984845,0.338243),h:1,n:73,cr:0.125563;
p:(0.890233,0.348893),h:1,n:59,cr:0.11779;
p:(0.493583,0.972775),h:1,n:47,cr:0.0868035;
p:(0.552316,0.919591),h:1,n:38,cr:0.0827854;
p:(0.15123,0.072545),h:1,n:69,cr:0.105359;
p:(0.200352,0.401188),h:1,n:60,cr:0.108946;
p:(0.283315,0.352458),h:1,n:39,cr:0.0923622;
p:(0.163131,0.39169),h:1,n:44,cr:0.104432;
p:(0.111276,0.361601),h:1,n:44,cr:0.116113;
p:(0.138238,0.360443),h:1,n:56,cr:0.127178;
p:(0.277775,0.55397),h:1,n:63,cr:0.0789653;
p:(0.0163006,0.242887),h:1,n:36,cr:0.0659646;
p:(0.0934805,0.134902),h:1,n:38,cr:0.0986321;
p:(0.0763186,0.986939),h:1,n:54,cr:0.11325;
p:(0.0697553,0.949327),h:1,n:41,cr:0.0644319;
p:(0.0699064,0.204655),h:1,n:53,cr:0.084588;
p:(0.176211,0.240062),h:1,n:43,cr:0.120195;
p:(0.188201,0.436497),h:1,n:41,cr:0.0924661;
p:(0.205714,0.522629),h:1,n:66,cr:0.0824927;
p:(0.157139,0.503461),h:1,n:61,cr:0.0848352;
p:(0.247962,0.193564),h:1,n:46,cr:0.0835287;
p:(0.178208,0.221966),h:1,n:51,cr:0.0890019;
p:(0.160824,0.119989),h:1,n:63,cr:0.0640092;
p:(0.137232,0.804177),h:1,n:64,cr:0.133057;
p:(0.156679,0.400944),h:1,n:60,cr:0.136597;
p:(0.0995593,0.382896),h:1,n:42,cr:0.0888919;
p:(0.0161775,0.845123),h:1,n:52,cr:0.0994811;
p:(0.0641713,0.020023),h:1,n:57,cr:0.0983842;
p:(0.0700902,0.0988374),h:1,n:36,cr:0.0550607;
p:(0.0131615,0.144946),h:1,n:43,cr:0.0463074;
p:(0.214524,0.759208),h:1,n:39,cr:0.0953045;
p:(0.163968,0.830012),h:1,n:44,cr:0.125696;
p:(0.25021,0.256228),h:1,n:38,cr:0.087393;
p:(0.187533,0.276235),h:1,n:55,cr:0.083739;
p:(0.14766,0.881062),h:1,n:59,cr:0.146819;
p:(0.0988576,0.83505),h:1,n:36,cr:0.0919084;
p:(0.0525293,0.521563),h:1,n:41,cr:0.0751032;
p:(0.0491625,0.449105),h:1,n:41,cr:0.0943285;
p:(0.0588605,0.560872),h:1,n:54,cr:0.0911718;
p:(0.169607,0.906804),h:1,n:43,cr:0.117984;
p:(0.260445,0.649659),h:1,n:42,cr:0.0758935;
p:(0.258112,0.683574),h:1,n:39,cr:0.108109;
p:(0.074161,0.633072),h:1,n:36,cr:0.0815551;
p:(0.141603,0.606969),h:1,n:66,cr:0.134239;
p:(0.136956,0.659878),h:1,n:37,cr:0.0842435;
p:(0.121143,0.685786),h:1,n:57,cr:0.0673782;
p:(0.0635606,0.685722),h:1,n:40,cr:0.0860084;
p:(0.0354209,0.747803),h:1,n:37,cr:0.0572344;
p:(0.243528,0.0245755),h:1,n:41,cr:0.078186;
p:(0.331846,0.402379),h:1,n:46,cr:0.115049;
p:(0.347116,0.184622),h:1,n:39,cr:0.0676302;
p:(0.29416,0.232262),h:1,n:73,cr:0.1213;
p:(0.394239,0.272189),h:1,n:39,cr:0.0617323;
p:(0.381888,0.0974906),h:1,n:51,cr:0.0691062;
p:(0.331386,0.0911486),h:1,n:45,cr:0.0697001;
p:(0.244149,0.136171),h:1,n:67,cr:0.105292;
p:(0.457702,0.0630958),h:1,n:47,cr:0.111323;
p:(0.434513,0.00323146),h:1,n:48,cr:0.0731466;
p:(0.307763,0.0316532),h:1,n:41,cr:0.0633682;
p:(0.341482,0.0501679),h:1,n:37,cr:0.0871927;
p:(0.460652,0.471639),h:0,n:0,cr:0;
p:(0.500019,0.467274),h:0,n:0,cr:0;
p:(0.460768,0.457171),h:0,n:0,cr:0;
p:(0.524878,0.446649),h:0,n:0,cr:0;
p:(0.48874,0.466855),h:0,n:0,cr:0;
p:(0.455701,0.512906),h:0,n:0,cr:0;
p:(0.465389,0.464208),h:0,n:0,cr:0;
p:(0.487976,0.442665),h:0,n:0,cr:0;
p:(0.523506,0.453226),h:0,n:0,cr:0;
p:(0.464353,0.474219),h:0,n:0,cr:0;
p:(0.472099,0.464159),h:0,n:0,cr:0;
p:(0.468817,0.43739),h:0,n:0,cr:0;
p:(0.455641,0.489764),h:0,n:0,cr:0;
p:(0.491285,0.441411),h:0,n:0,cr:0;
p:(0.457959,0.500848),h:0,n:0,cr:0;
p:(0.52424,0.449341),h:0,n:0,cr:0;
p:(0.461288,0.533723),h:0,n:0,cr:0;
p:(0.469097,0.486418),h:0,n:0,cr:0;
p:(0.518301,0.491168),h:0,n:0,cr:0;
p:(0.493837,0.538553),h:0,n:0,cr:0;
p:(0.497196,0.467394),h:0,n:0,cr:0;
p:(0.504968,0.538422),h:0,n:0,cr:0;
p:(0.502947,0.457157),h:0,n:0,cr:0;
p:(0.503581,0.45497),h:0,n:0,cr:0;
p:(0.463195,0.444456),h:0,n:0,cr:0;
p:(0.478377,0.487347),h:0,n:0,cr:0;
p:(0.487131,0.513263),h:0,n:0,cr:0;
p:(0.491592,0.521437),h:0,n:0,cr:0;
p:(0.514194,0.455855),h:0,n:0,cr:0;
p:(0.470719,0.470738),h:0,n:0,cr:0;
p:(0.492518,0.54032),h:0,n:0,cr:0;
p:(0.516727,0.476072),h:0,n:0,cr:0;
p:(0.474629,0.531495),h:0,n:0,cr:0;
p:(0.460592,0.448873),h:0,n:0,cr:0;
p:(0.48462,0.542192),h:0,n:0,cr:0;
p:(0.46135,0.448129),h:0,n:0,cr:0;
p:(0.498129,0.525185),h:0,n:0,cr:0;
p:(0.484511,0.504897),h:0,n:0,cr:0;
p:(0.522313,0.48775),h:0,n:0,cr:0;
p:(0.492054,0.521857),h:0,n:0,cr:0;
p:(0.475017,0.460632),h:0,n:0,cr:0;
p:(0.454021,0.499146),h:0,n:0,cr:0;
p:(0.522553,0.461626),h:0,n:0,cr:0;
p:(0.459783,0.517477),h:0,n:0,cr:0;
p:(0.467987,0.478032),h:0,n:0,cr:0;
p:(0.505282,0.491841),h:0,n:0,cr:0;
p:(0.518655,0.521671),h:0,n:0,cr:0;
p:(0.492604,0.530794),h:0,n:0,cr:0;
p:(0.48413,0.520429),h:0,n:0,cr:0;
p:(0.493575,0.460107),h:0,n:0,cr:0;
p:(0.483648,0.471005),h:0,n:0,cr:0;
p:(0.498882,0.469456),h:0,n:0,cr:0;
p:(0.471924,0.507207),h:0,n:0,cr:0;
p:(0.468702,0.527929),h:0,n:0,cr:0;
p:(0.514368,0.516045),h:0,n:0,cr:0;
p:(0.502295,0.494095),h:0,n:0,cr:0;
p:(0.517373,0.523642),h:0,n:0,cr:0;
p:(0.461602,0.494227),h:0,n:0,cr:0;
p:(0.486237,0.441611),h:0,n:0,cr:0;
p:(0.505372,0.462473),h:0,n:0,cr:0;
p:(0.523656,0.487664),h:0,n:0,cr:0;
p:(0.523323,0.462166),h:0,n:0,cr:0;
p:(0.456514,0.434398),h:0,n:0,cr:0;
p:(0.448423,0.458269),h:0,n:0,cr:0;
p:(0.404136,0.41966),h:0,n:0,cr:0;
p:(0.43323,0.482107),h:0,n:0,cr:0;
p:(0.442931,0.437928),h:0,n:0,cr:0;
p:(0.443661,0.440458),h:0,n:0,cr:0;
p:(0.439338,0.446045),h:0,n:0,cr:0;
p:(0.431197,0.440217),h:0,n:0,cr:0;
p:(0.44264,0.478332),h:0,n:0,cr:0;
p:(0.419785,0.453309),h:0,n:0,cr:0;
p:(0.459128,0.430632),h:0,n:0,cr:0;
p:(0.400048,0.438262),h:0,n:0,cr:0;
p:(0.417316,0.438352),h:0,n:0,cr:0;
p:(0.450784,0.488408),h:0,n:0,cr:0;
p:(0.427332,0.454406),h:0,n:0,cr:0;
p:(0.416191,0.435156),h:0,n:0,cr:0;
p:(0.43968,0.474192),h:0,n:0,cr:0;
p:(0.401575,0.422006),h:0,n:0,cr:0;
p:(0.45817,0.431766),h:0,n:0,cr:0;
p:(0.418609,0.453243),h:0,n:0,cr:0;
p:(0.442327,0.481394),h:0,n:0,cr:0;
p:(0.439132,0.469511),h:0,n:0,cr:0;
p:(0.425392,0.462803),h:0,n:0,cr:0;
p:(0.447909,0.511512),h:0,n:0,cr:0;
p:(0.402968,0.416616),h:0,n:0,cr:0;
p:(0.431496,0.487372),h:0,n:0,cr:0;
p:(0.436036,0.45951),h:0,n:0,cr:0;
p:(0.412553,0.448547),h:0,n:0,cr:0;
p:(0.430412,0.439109),h:0,n:0,cr:0;
p:(0.42074,0.449736),h:0,n:0,cr:0;
p:(0.42968,0.456443),h:0,n:0,cr:0;
p:(0.431251,0.429585),h:0,n:0,cr:0;
p:(0.445538,0.44035),h:0,n:0,cr:0;
p:(0.425381,0.443858),h:0,n:0,cr:0;
p:(0.44061,0.4567),h:0,n:0,cr:0;
p:(0.401407,0.432155),h:0,n:0,cr:0;
p:(0.344943,0.598481),h:0,n:0,cr:0;
p:(0.394327,0.658831),h:0,n:0,cr:0;
p:(0.412483,0.611981),h:0,n:0,cr:0;
p:(0.387996,0.596191),h:0,n:0,cr:0;
p:(0.367118,0.615491),h:0,n:0,cr:0;
p:(0.376631,0.630351),h:0,n:0,cr:0;
p:(0.384041,0.590012),h:0,n:0,cr:0;
p:(0.402864,0.624136),h:0,n:0,cr:0;
p:(0.39599,0.567648),h:0,n:0,cr:0;
p:(0.382457,0.584421),h:0,n:0,cr:0;
p:(0.392965,0.65684),h:0,n:0,cr:0;
p:(0.404321,0.589629),h:0,n:0,cr:0;
p:(0.398698,0.669857),h:0,n:0,cr:0;
p:(0.405301,0.58246),h:0,n:0,cr:0;
p:(0.354834,0.584853),h:0,n:0,cr:0;
p:(0.390655,0.623811),h:0,n:0,cr:0;
p:(0.378378,0.651091),h:0,n:0,cr:0;
p:(0.388108,0.657403),h:0,n:0,cr:0;
p:(0.383244,0.649721),h:0,n:0,cr:0;
p:(0.365971,0.63442),h:0,n:0,cr:0;
p:(0.377838,0.634438),h:0,n:0,cr:0;
p:(0.406852,0.605642),h:0,n:0,cr:0;
p:(0.329974,0.586727),h:0,n:0,cr:0;
p:(0.416259,0.585579),h:0,n:0,cr:0;
p:(0.402103,0.648405),h:0,n:0,cr:0;
p:(0.411765,0.586874),h:0,n:0,cr:0;
p:(0.399446,0.654794),h:0,n:0,cr:0;
p:(0.405538,0.638615),h:0,n:0,cr:0;
p:(0.381928,0.585162),h:0,n:0,cr:0;
p:(0.343217,0.591131),h:0,n:0,cr:0;
p:(0.380315,0.598724),h:0,n:0,cr:0;
p:(0.413222,0.579355),h:0,n:0,cr:0;
p:(0.387281,0.633497),h:0,n:0,cr:0;
p:(0.415951,0.584013),h:0,n:0,cr:0;
p:(0.410466,0.606536),h:0,n:0,cr:0;
p:(0.394465,0.654157),h:0,n:0,cr:0;
p:(0.386489,0.644274),h:0,n:0,cr:0;
p:(0.394957,0.611213),h:0,n:0,cr:0;
p:(0.397907,0.662075),h:0,n:0,cr:0;
p:(0.376741,0.658041),h:0,n:0,cr:0;
p:(0.321387,0.588103),h:0,n:0,cr:0;
p:(0.370552,0.606362),h:0,n:0,cr:0;
p:(0.394129,0.639248),h:0,n:0,cr:0;
p:(0.355158,0.607416),h:0,n:0,cr:0;
p:(0.393985,0.672575),h:0,n:0,cr:0;
p:(0.386537,0.573938),h:0,n:0,cr:0;
p:(0.355151,0.62095),h:0,n:0,cr:0;
p:(0.410222,0.598049),h:0,n:0,cr:0;
p:(0.374184,0.60039),h:0,n:0,cr:0;
p:(0.384947,0.613696),h:0,n:0,cr:0;
p:(0.368439,0.644879),h:0,n:0,cr:0;
p:(0.368396,0.637511),h:0,n:0,cr:0;
p:(0.389876,0.628647),h:0,n:0,cr:0;
p:(0.387031,0.673145),h:0,n:0,cr:0;
p:(0.412863,0.569727),h:0,n:0,cr:0;
p:(0.359095,0.552485),h:0,n:0,cr:0;
p:(0.333569,0.536742),h:0,n:0,cr:0;
p:(0.347196,0.532514),h:0,n:0,cr:0;
p:(0.340321,0.507617),h:0,n:0,cr:0;
p:(0.355369,0.558645),h:0,n:0,cr:0;
p:(0.374975,0.558198),h:0,n:0,cr:0;
p:(0.387466,0.568379),h:0,n:0,cr:0;
p:(0.340026,0.53766),h:0,n:0,cr:0;
p:(0.32668,0.532647),h:0,n:0,cr:0;
p:(0.351819,0.554097),h:0,n:0,cr:0;
p:(0.358727,0.548938),h:0,n:0,cr:0;
p:(0.349713,0.511929),h:0,n:0,cr:0;
p:(0.334416,0.495949),h:0,n:0,cr:0;
p:(0.364441,0.520852),h:0,n:0,cr:0;
p:(0.362205,0.571328),h:0,n:0,cr:0;
p:(0.320537,0.498351),h:0,n:0,cr:0;
p:(0.376193,0.554369),h:0,n:0,cr:0;
p:(0.385795,0.564112),h:0,n:0,cr:0;
p:(0.3568,0.568673),h:0,n:0,cr:0;
p:(0.342109,0.562997),h:0,n:0,cr:0;
p:(0.353122,0.569472),h:0,n:0,cr:0;
p:(0.349748,0.542479),h:0,n:0,cr:0;
p:(0.361586,0.553775),h:0,n:0,cr:0;
p:(0.359733,0.526617),h:0,n:0,cr:0;
p:(0.342051,0.555197),h:0,n:0,cr:0;
p:(0.332018,0.571756),h:0,n:0,cr:0;
p:(0.368438,0.559007),h:0,n:0,cr:0;
p:(0.342901,0.543378),h:0,n:0,cr:0;
p:(0.348663,0.567538),h:0,n:0,cr:0;
p:(0.346643,0.573951),h:0,n:0,cr:0;
p:(0.322415,0.559882),h:0,n:0,cr:0;
p:(0.376331,0.571482),h:0,n:0,cr:0;
p:(0.334643,0.532984),h:0,n:0,cr:0;
p:(0.318121,0.514184),h:0,n:0,cr:0;
p:(0.324222,0.57248),h:0,n:0,cr:0;
p:(0.381701,0.555513),h:0,n:0,cr:0;
p:(0.328423,0.525776),h:0,n:0,cr:0;
p:(0.351335,0.506263),h:0,n:0,cr:0;
p:(0.347609,0.520595),h:0,n:0,cr:0;
p:(0.362752,0.573237),h:0,n:0,cr:0;
p:(0.350156,0.508797),h:0,n:0,cr:0;
p:(0.334911,0.538218),h:0,n:0,cr:0;
p:(0.393746,0.496431),h:0,n:0,cr:0;
p:(0.45569,0.532342),h:0,n:0,cr:0;
p:(0.408978,0.459937),h:0,n:0,cr:0;
p:(0.424774,0.512941),h:0,n:0,cr:0;
p:(0.399062,0.533636),h:0,n:0,cr:0;
p:(0.401325,0.518436),h:0,n:0,cr:0;
p:(0.408414,0.529918),h:0,n:0,cr:0;
p:(0.387003,0.532111),h:0,n:0,cr:0;
p:(0.401573,0.489424),h:0,n:0,cr:0;
p:(0.429182,0.537407),h:0,n:0,cr:0;
p:(0.396995,0.524898),h:0,n:0,cr:0;
p:(0.387987,0.525373),h:0,n:0,cr:0;
p:(0.404956,0.500659),h:0,n:0,cr:0;
p:(0.392637,0.533647),h:0,n:0,cr:0;
p:(0.415137,0.525976),h:0,n:0,cr:0;
p:(0.434822,0.542972),h:0,n:0,cr:0;
p:(0.435799,0.500247),h:0,n:0,cr:0;
p:(0.424909,0.505431),h:0,n:0,cr:0;
p:(0.412845,0.497843),h:0,n:0,cr:0;
p:(0.425072,0.552373),h:0,n:0,cr:0;
p:(0.431684,0.507493),h:0,n:0,cr:0;
p:(0.408973,0.49596),h:0,n:0,cr:0;
p:(0.450688,0.524787),h:0,n:0,cr:0;
p:(0.427365,0.528458),h:0,n:0,cr:0;
p:(0.417115,0.485964),h:0,n:0,cr:0;
p:(0.403326,0.465119),h:0,n:0,cr:0;
p:(0.394138,0.537676),h:0,n:0,cr:0;
p:(0.391263,0.519768),h:0,n:0,cr:0;
p:(0.401285,0.526494),h:0,n:0,cr:0;
p:(0.392436,0.52862),h:0,n:0,cr:0;
p:(0.424816,0.496848),h:0,n:0,cr:0;
p:(0.400184,0.485715),h:0,n:0,cr:0;
p:(0.412372,0.548276),h:0,n:0,cr:0;
p:(0.403062,0.467268),h:0,n:0,cr:0;
p:(0.418653,0.545784),h:0,n:0,cr:0;
p:(0.449434,0.529262),h:0,n:0,cr:0;
p:(0.411113,0.518973),h:0,n:0,cr:0;
p:(0.410543,0.464242),h:0,n:0,cr:0;
p:(0.411523,0.463666),h:0,n:0,cr:0;
p:(0.455019,0.53551),h:0,n:0,cr:0;
p:(0.416387,0.543588),h:0,n:0,cr:0;
p:(0.403958,0.542412),h:0,n:0,cr:0;
p:(0.364784,0.513401),h:0,n:0,cr:0;
p:(0.393097,0.481124),h:0,n:0,cr:0;
p:(0.329342,0.429613),h:0,n:0,cr:0;
p:(0.356162,0.480193),h:0,n:0,cr:0;
p:(0.330436,0.484919),h:0,n:0,cr:0;
p:(0.368455,0.400148),h:0,n:0,cr:0;
p:(0.338929,0.442278),h:0,n:0,cr:0;
p:(0.374413,0.477323),h:0,n:0,cr:0;
p:(0.378966,0.420218),h:0,n:0,cr:0;
p:(0.391792,0.427999),h:0,n:0,cr:0;
p:(0.375564,0.495355),h:0,n:0,cr:0;
p:(0.327184,0.464505),h:0,n:0,cr:0;
p:(0.394506,0.45742),h:0,n:0,cr:0;
p:(0.372034,0.444682),h:0,n:0,cr:0;
p:(0.330701,0.477245),h:0,n:0,cr:0;
p:(0.368065,0.508204),h:0,n:0,cr:0;
p:(0.366512,0.495046),h:0,n:0,cr:0;
p:(0.394076,0.438425),h:0,n:0,cr:0;
p:(0.351563,0.446054),h:0,n:0,cr:0;
p:(0.374764,0.461543),h:0,n:0,cr:0;
p:(0.348515,0.428043),h:0,n:0,cr:0;
p:(0.38408,0.506776),h:0,n:0,cr:0;
p:(0.333344,0.431088),h:0,n:0,cr:0;
p:(0.37717,0.522358),h:0,n:0,cr:0;
p:(0.369478,0.504734),h:0,n:0,cr:0;
p:(0.375362,0.510614),h:0,n:0,cr:0;
p:(0.372748,0.414221),h:0,n:0,cr:0;
p:(0.363255,0.427441),h:0,n:0,cr:0;
p:(0.37028,0.478413),h:0,n:0,cr:0;
p:(0.384452,0.492737),h:0,n:0,cr:0;
p:(0.364532,0.413715),h:0,n:0,cr:0;
p:(0.356943,0.496093),h:0,n:0,cr:0;
p:(0.357121,0.420095),h:0,n:0,cr:0;
p:(0.386371,0.510057),h:0,n:0,cr:0;
p:(0.383663,0.51575),h:0,n:0,cr:0;
p:(0.340885,0.473624),h:0,n:0,cr:0;
p:(0.349912,0.396811),h:0,n:0,cr:0;
p:(0.308787,0.458149),h:0,n:0,cr:0;
p:(0.38293,0.494559),h:0,n:0,cr:0;
p:(0.349179,0.407522),h:0,n:0,cr:0;
p:(0.37818,0.427967),h:0,n:0,cr:0;
p:(0.32725,0.473494),h:0,n:0,cr:0;
p:(0.366364,0.458416),h:0,n:0,cr:0;
p:(0.337649,0.416468),h:0,n:0,cr:0;
p:(0.385813,0.440311),h:0,n:0,cr:0;
p:(0.377973,0.491366),h:0,n:0,cr:0;
p:(0.366161,0.443993),h:0,n:0,cr:0;
p:(0.372188,0.511274),h:0,n:0,cr:0;
p:(0.374554,0.427247),h:0,n:0,cr:0;
p:(0.335783,0.453075),h:0,n:0,cr:0;
p:(0.347249,0.426397),h:0,n:0,cr:0;
p:(0.381965,0.431076),h:0,n:0,cr:0;
p:(0.38428,0.419307),h:0,n:0,cr:0;
p:(0.609106,0.627158),h:0,n:0,cr:0;
p:(0.618447,0.642693),h:0,n:0,cr:0;
p:(0.596899,0.645601),h:0,n:0,cr:0;
p:(0.561007,0.64452),h:0,n:0,cr:0;
p:(0.673996,0.629359),h:0,n:0,cr:0;
p:(0.590407,0.617582),h:0,n:0,cr:0;
p:(0.61947,0.693692),h:0,n:0,cr:0;
p:(0.558524,0.623701),h:0,n:0,cr:0;
p:(0.657522,0.64745),h:0,n:0,cr:0;
p:(0.650077,0.667559),h:0,n:0,cr:0;
p:(0.577209,0.643391),h:0,n:0,cr:0;
p:(0.604654,0.619965),h:0,n:0,cr:0;
p:(0.580364,0.642521),h:0,n:0,cr:0;
p:(0.663394,0.6408),h:0,n:0,cr:0;
p:(0.612152,0.632015),h:0,n:0,cr:0;
p:(0.627616,0.676407),h:0,n:0,cr:0;
p:(0.659452,0.652399),h:0,n:0,cr:0;
p:(0.578877,0.638513),h:0,n:0,cr:0;
p:(0.621719,0.684782),h:0,n:0,cr:0;
p:(0.554228,0.647433),h:0,n:0,cr:0;
p:(0.547119,0.642339),h:0,n:0,cr:0;
p:(0.601114,0.645571),h:0,n:0,cr:0;
p:(0.615263,0.671802),h:0,n:0,cr:0;
p:(0.628892,0.674058),h:0,n:0,cr:0;
p:(0.60695,0.653502),h:0,n:0,cr:0;
p:(0.584032,0.628089),h:0,n:0,cr:0;
p:(0.613202,0.635472),h:0,n:0,cr:0;
p:(0.593116,0.64822),h:0,n:0,cr:0;
p:(0.64129,0.622391),h:0,n:0,cr:0;
p:(0.619308,0.613461),h:0,n:0,cr:0;
p:(0.610052,0.623911),h:0,n:0,cr:0;
p:(0.567957,0.637196),h:0,n:0,cr:0;
